,/aure_26000
Metric,Value
Total,95
Any of the generated distractors matches with a gold one,54.74%
The correct answer is among generated distractors,3.16%
Any (but not all) generated distractors are the same,7.37%
All generated distractors are the same,1.05%
Any distractor is capitalized differently from the correct answer,8.42%
Any distractor contains repetitive words,0.0%
Any distractor is an empty string,0.0%
(A) Any distractor is in its own context,96.84%
(B) Any distractor is in any context from training data,43.16%
(C) Any distractor is a distractor from training data,0.0%
(A) and (B),43.16%
(A) and (C),0.0%
(A1) All distractors are in their own context,63.16%
(B1) All distractors are in any context from training data,10.53%
(C1) All distractors are distractors from training data,0.0%
(A1) and (B1),8.42%
(A1) and (C1),0.0%
Distractor recall,26.56%
